"","Locus","Description","otherName"
"739","AT5G49730","Encodes a putative ferric chelate reductase. Its mRNA is expressed in green aerial tissues (shoot, flower and cotyledon) in a light- and cell differentiation-specific manner.  However, in vitro assays in yeast have not shown ferric chelate reductase activity for this protein.  T",""
"16","AT5G63620","Encodes an oxidoreductase involved in transducing the perception of E-2-hexenal, which changes the redox status of the mitochondria.","HER2; HEXENAL RESPONSE 2"
"175","AT5G60790","member of GCN subfamily","ABCF1; ARABIDOPSIS THALIANA GENERAL CONTROL NON-REPRESSIBLE 1; ATGCN1; ATP-BINDING CASSETTE F1; GCN1; GENERAL CONTROL NON-REPRESSIBLE 1"
"162","AT5G12480","calmodulin-domain protein kinase CDPK isoform 7 (CPK7)","CALMODULIN-DOMAIN PROTEIN KINASE 7; CPK7"
"177","AT5G58270","Encodes a mitochondrial half-molecule ABC transporter, a member of ATM subfamily.  Mutants are dwarfed, chlorotic plants with altered leaf morphology. ATM3 transcription is induced by Cd(II) or Pb(II). Involved in heavy metal resistance. Arabidopsis thaliana has three ATM genes, namely ATM1, ATM2 and ATM3. Only ATM3 has an important function for plant growth. Role in Moco biosynthesis.","ABC TRANSPORTER OF THE MITOCHONDRION 3; ABCB25; ARABIDOPSIS THALIANA ABC TRANSPORTER OF THE MITOCHONDRION 3; ATATM3; ATM3; ATP-BINDING CASSETTE B25; STA1; STARIK 1"
"240","AT3G22150","Involved in RNA editing of plastid atpF and mitochondrial nad5.","AEF1; ATPF EDITING FACTOR 1"
"887","AT1G03475","Encodes coproporphyrinogen III oxidase, a key enzyme in the biosynthetic pathway of chlorophyll and heme, a tetrapyrrole pathway. Mutants express cytological and molecular markers associated with the defense responses, usually activated by pathogen infection.","ATCPO-I; HEMF1; LESION INITIATION 2; LIN2"
"660","AT5G28050","Cytidine/deoxycytidylate deaminase family protein;(source:Araport11)","GSDA; GUANOSINE DEAMINASE"
"680","AT3G17970","Integral chloroplast outer membrane protein. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.",""
"633","ATCG00350","Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome.","PSAA"
"743","AT5G27540","Encodes a protein with similarity to GTPases that is localized to the mitochondrion. Involved in embryogenesis, pollen tube growth and required for mitochondrial development.","MIRO-RELATED GTP-ASE 1; MIRO1"
"377","AT2G31190","Encodes RUS2 (root UVB sensitive2), a DUF647-containing protein that is homologous to the RUS1 protein. RUS2 works with RUS1 in a root UV-B sensing pathway that plays a vital role in Arabidopsis early seedling morphogenesis and development.  Required for auxin polar transport.","ROOT UV-B SENSITIVE 2; RUS2"
"384","AT5G42480","Shows homology to the cyanobacterial cell division protein Ftn2, mutant only has two mesophyll cell chloroplasts.  Protein was localized to a ring at the center of the chloroplasts. Probably involved in functions in the assembly and/or stabilization of the plastid-dividing FtsZ ring, inhibiting FtsZ filament formation in the chloroplast.",""
"968","AT3G23940","Encodes a member of the dihydroxyacid dehydrates family of proteins that encode enzymes involved in branched chain amino acid biosynthesis. Loss of function mutations have significantly reduced transmission and fertility due to defects in male and female gametophyte development and embryo lethality. Mutants have increased sensitivity to abiotic stressors which may be partially compensated by addition of amino acids to the growth medium.","DHAD; DIHYDROXYACID DEHYDRATASE"
"257","ATCG01120","encodes a chloroplast ribosomal protein S15, a constituent of the small subunit of the ribosomal complex","CHLOROPLAST RIBOSOMAL PROTEIN S15; RPS15"
"698","AT5G17010","Major facilitator superfamily protein;(source:Araport11)",""
"460","AT5G28020","Encodes cysteine synthase CysD2.","ATCYSD2; CYSD2; CYSTEINE SYNTHASE D2"
"686","AT5G46070","Guanylate-binding family protein;(source:Araport11)","GBPL3; GUANYLATE-BINDING PROTEIN-LIKE 3"
"527","AT5G35630","chloroplastic glutamine synthetase The mRNA is cell-to-cell mobile.","ATGSL1; GLN2; GLUTAMINE SYNTHETASE 2; GLUTAMINE SYNTHETASE LIKE 1; GS2"
"34","AT3G06310","Cox19-like CHCH family protein;(source:Araport11)",""
"179","AT5G66530","Galactose mutarotase-like superfamily protein;(source:Araport11)",""
"191","AT5G58140","Membrane-bound protein serine/threonine kinase that functions as blue light photoreceptor in redundancy with PHO1. Involved in stomatal opening, chloroplast movement and phototropism. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT2 possesses two LOV (LOV1 and LOV2, for light-oxygen-voltage-sensing) domains involved in FMN-binding and a C-terminus forming a serine/threonine kinase domain. LOV2 acts as an inhibitor of phototropin kinase in the dark, and light cancels the inhibition through cysteine-FMN adduct formation. LOV1 in contrast acts as an attenuator of photoactivation.  Localized to the Golgi apparatus under the induction of blue light. The mRNA is cell-to-cell mobile.","ATPHOT2; NON PHOTOTROPIC HYPOCOTYL 1-LIKE; NPL1; PHOT2; PHOTOTROPIN 2"
"208","AT5G16400","Encodes an f-type thioredoxin (Trx-f2) localized in chloroplast stroma.","ATF2; THIOREDOXIN F2; TRXF2"
"677","AT5G65750","2-oxoglutarate dehydrogenase, E1 component;(source:Araport11)",""
"569","AT1G08510","Encodes an acyl-acyl carrier protein thioesterase. Hydrolyzes primarily saturated acyl-ACPs with chain lengths that vary between 8 and 18 carbons. Involved in saturated fatty acid synthesis. Nuclear-encoded, plastid-targeted globular protein that is functional as dimer.","FATB; FATTY ACYL-ACP THIOESTERASES B"
"619","AT5G22780","Adaptor protein complex AP-2, alpha subunit;(source:Araport11)",""
"467","AT5G64050","Glutamate-tRNA ligase. Targeted to mitochondria and chloroplast. Its inactivation causes developmental arrest of chloroplasts and mitochondria in Nicotiana benthamiana.","ATERS; ERS; GLUTAMATE TRNA SYNTHETASE; OVA3; OVULE ABORTION 3"
"555","AT5G60600","Encodes a chloroplast-localized  hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) synthase (HDS), catalyzes the formation of HMBPP from 2-C-methyl-D-erythrytol 2,4-cyclodiphosphate (MEcPP).  The HDS enzyme controls the penultimate steps of the biosynthesis of IPP and dimethylallyl diphosphate (DMAPP) via the MEP pathway and may serve as a metabolic control point for SA-mediated disease resistance. In the light, the electrons required for the reaction catalyzed by HDS are directly provided by the electron flow from photosynthesis via ferredoxin. In the dark however, the enzyme requires an electron shuttle: ferredoxin-NADP<sup>+</sup> reductase.The mRNA is cell-to-cell mobile.",""
"283","AT5G06810","transcription termination factor family protein;(source:Araport11)",""
"548","ATCG00640","encodes a chloroplast ribosomal protein L33, a constituent of the large subunit of the ribosomal complex","RIBOSOMAL PROTEIN L33; RPL33"
"54","AT5G44020","HAD superfamily, subfamily IIIB acid phosphatase;(source:Araport11)",""
"221","AT5G57290","60S acidic ribosomal protein family;(source:Araport11)","ATP3B; P3B; RIBOSOMAL P3 PROTEIN B"
"375","AT1G25280","Member of TLP family","ATTLP10; TLP10; TUBBY LIKE PROTEIN 10"
"563","AT2G48070","Encodes a chloroplast protein RPH1 (resistance to Phytophthora 1).  Involved in immune response to Phytophthora brassicae.  rph1 mutant plants (in Ws background) are susceptible to P. brassicae.","RESISTANCE TO PHYTOPHTHORA 1; RPH1"
"859","AT5G16450","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase;(source:Araport11)",""
"919","AT2G04030","Encodes a chloroplast-targeted 90-kDa heat shock protein located in the stroma involved in red-light mediated deetiolation response and crucial for protein import into the chloroplast stroma. Mutants are resistant to chlorate, have elongated hypocotyls in light, and affect the expression of NR2, CAB, and RBCS but NOT NR1 and NiR.","ATHSP90.5; ATHSP90C; CR88; EMB1956; EMBRYO DEFECTIVE 1956; HEAT SHOCK PROTEIN 88.1; HEAT SHOCK PROTEIN 90.5; HSP88.1; HSP90.5"
"1","AT5G61910","DCD (Development and Cell Death) domain protein;(source:Araport11)",""
"52","AT5G45390","One of several nuclear-encoded ClpPs (caseinolytic protease). Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). The name reflects nomenclature described in Adam et. al (2001). The mRNA is cell-to-cell mobile.","CLP PROTEASE P4; CLPP4; NCLPP4; NUCLEAR-ENCODED CLP PROTEASE P4"
"59","AT5G46430","Ribosomal protein L32e;(source:Araport11)",""
"694","AT5G35630","chloroplastic glutamine synthetase The mRNA is cell-to-cell mobile.","ATGSL1; GLN2; GLUTAMINE SYNTHETASE 2; GLUTAMINE SYNTHETASE LIKE 1; GS2"
"596","AT5G54770","Encodes a thiamine biosynthetic gene that has a dual function in thiamine biosynthesis and mitochondrial DNA damage tolerance. It appears to be involved in producing the thiazole portion of thiamine (vitamin B1). A crystal structure of the protein reveals that it forms a 2-ring homo-octamer. The mRNA is cell-to-cell mobile.","THI1; THI4; THIAMINE4; THIAZOLE REQUIRING; TZ"
"845","AT5G42960","outer envelope pore 24B-like protein;(source:Araport11)",""
"733","AT1G74960","Encodes a plastidic beta-ketoacyl-ACP synthase II, involved in fatty acid elongation from 16:0-ACP to 18:0-ACP. Homozygous knock-out mutants are embryo lethal, indicating early embryo development is sensitive to elevated 16:0.","BETA-KETOACYL-ACP SYNTHETASE 2; FAB1; FATTY ACID BIOSYNTHESIS 1; KAS2"
"243","AT5G46110","Encodes a chloroplast triose phosphate / 3-phosphoglycerate translocator that transports triose phosphates derived from the Calvin cycle in the stroma to the cytosol for use in sucrose synthesis and other biosynthetic processes. A tpt mutant has altered acclimation responses. The mRNA is cell-to-cell mobile.","ACCLIMATION OF PHOTOSYNTHESIS TO  ENVIRONMENT 2; APE2; TPT; TRIOSE-PHOSPHATE &#8260; PHOSPHATE TRANSLOCATOR"
"489","AT4G04610","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily.  This protein also belongs to the adenosine 5'-phosphosulfate reductase-like (APRL) group. The mRNA is cell-to-cell mobile.","APR; APR1; APS REDUCTASE 1; ATAPR1; PAPS REDUCTASE HOMOLOG 19; PRH19"
"364","AT5G42480","Shows homology to the cyanobacterial cell division protein Ftn2, mutant only has two mesophyll cell chloroplasts.  Protein was localized to a ring at the center of the chloroplasts. Probably involved in functions in the assembly and/or stabilization of the plastid-dividing FtsZ ring, inhibiting FtsZ filament formation in the chloroplast.","ACCUMULATION AND REPLICATION OF CHLOROPLASTS 6; ARC6"
"560","AT5G41790","CIP1 physically interacts specifically with the putative coiled-coil region of COP1 in vitro. In hypocotyl and cotyledon protoplasts, it is associated to the cytoskeleton, but not in the root. IN the root the protein is found around epidermal cells. Expression is induced by ABA and osmotic stress but is not regulated by light. Loss of function mutants are also sensitive to osmotic stress and are somewhat ABA insensitive. The mRNA is cell-to-cell mobile.",""
"829","AT4G30010","ATP-dependent RNA helicase;(source:Araport11)",""
"262","FGENESH2_KG.6__2339__AT5G23440.1","",""
"11","AT5G15730","Protein kinase superfamily protein;(source:Araport11)",""
"583","AT5G44780","Member of MORF family consisting of of nine full-length proteins encoded in the nuclear genome. MORF proteins are required for all RNA editing events in plastids and for many, possibly also all, sites in mitochondria. Potential link between the RNA binding PPR protein and the protein contributing the enzymatic activity in RNA editing.",""
"951","AT5G15090","Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol. Purified VDAC3 is shown to have voltage-dependent anion channel activity.","ARABIDOPSIS THALIANA VOLTAGE DEPENDENT ANION CHANNEL 3; ATVDAC-3; ATVDAC3; VDAC3; VOLTAGE DEPENDENT ANION CHANNEL 3"
"14","AT5G16980","Zinc-binding dehydrogenase family protein;(source:Araport11)",""
"53","AT5G65720","Encodes a cysteine desulfurase whose activity is dependent on AtSufE activation. It requires pyridoxal phosphate (PLP) for proper folding.  Its catalytic efficiency is increase three-fold in the presence of AtFH (frataxin).","ARABIDOPSIS THALIANA NITROGEN FIXATION S (NIFS)-LIKE 1; ATNFS1; ATNIFS1; NFS1; NIFS1; NITROGEN FIXATION S (NIFS)-LIKE 1; NITROGEN FIXATION S HOMOLOG 1"
"118","AT2G35040","AICARFT/IMPCHase bienzyme family protein;(source:Araport11)",""
"99","AT5G37510","Encodes a subunit of the 400 kDa subcomplex of the mitochondrial NADH dehydrogenase (complex I).  The protein has been isolated in the male gametophyte. The mRNA is cell-to-cell mobile.","CI76; EMB1467; EMBRYO DEFECTIVE 1467"
"163","AT5G35180","ENHANCED DISEASE RESISTANCE protein (DUF1336);(source:Araport11)",""
"308","AT5G49780","Leucine-rich repeat protein kinase family protein;(source:Araport11)",""
"370","AT5G47540","Mo25 family protein;(source:Araport11)",""
"654","AT5G51110","Encodes a protein involved in Rubisco assembly that also mediates Abscisic acid-dependent stress response. It is a ubiquitination target of the intracellular E3 ligase SDIR1. It selectively regulates the expression of the downstream basic region/leucine zipper motif transcription factor gene ABA-INSENSITIVE5, rather than ABA-RESPONSIVE ELEMENTS BINDING FACTOR3 (ABF3) or ABF4, to regulate ABA-mediated seed germination and the plant salt response.","ATAIRP2 TARGET PROTEIN 1; ATP1; RAF2; RUBISCO ASSEMBLY FACTOR 2; SDIR1-INTERACTING PROTEIN1; SDIRIP1"
"821","AT5G55160","Encodes a small ubiquitin-like modifier (SUMO) polypeptide that becomes covalently attached to various intracellular protein targets, much like ubiquitination, leading to post-translational modification of those targets. SUMO2 can form SUMO chains through lysine residue 10 during in vitro assays.","ATSUMO2; SMALL UBIQUITIN-LIKE MODIFIER 2; SUM2; SUMO 2; SUMO2"
"45","AT5G55940","Uncharacterized protein family (UPF0172);(source:Araport11)","EMB2731; EMBRYO DEFECTIVE 2731"
"71","FGENESH2_KG.7__2923__AT4G14210.1","",""
"147","AT5G16730","Encodes a microtubule-associated protein. The mRNA is cell-to-cell mobile.",""
"604","AT1G44170","Encodes an aldehyde dehydrogenase induced by ABA and dehydration that can oxidize saturated aliphatic aldehydes. It is also able to oxidize beta-unsaturated aldehydes, but not aromatic aldehydes. Activity of ALDH3H1 is NAD +-dependent.","ALDEHYDE DEHYDROGENASE 3H1; ALDEHYDE DEHYDROGENASE 4; ALDH3H1; ALDH4"
"486","AT5G15070","Encodes a functional VIP1/PPIP5K-type ATP-grasp kinase that is involved in both InsP6 to InsP7 conversion and InsP7 to InsP8 conversion. It is the minor isoform in plants and is expressed in pollen.",""
"490","AT4G34240","Encodes an aldehyde dehydrogenase induced by ABA and dehydration that can oxidize saturated aliphatic aldehydes. It is also able to oxidize beta-unsaturated aldehydes, but not aromatic aldehydes. ALDH3I1 was able to use both NAD+ and NADP+ as cofactors.","ALDEHYDE DEHYDROGENASE 3; ALDEHYDE DEHYDROGENASE 3I1; ALDH3; ALDH3I1"
"753","AT5G67520","Provides activated sulfate for the  sulfation of secondary metabolites, including the glucosinolates. Redundant with APK3.",""
"73","AT5G23750","Remorin family protein;(source:Araport11)",""
"906","AT5G38980","transmembrane protein;(source:Araport11)",""
"348","AT5G35170","adenylate kinase family protein;(source:Araport11)",""
"568","AT5G18170","Encodes the 43 kDa alpha-subunit of the glutamate dehydrogenase with a putative mitochondrial transit polypeptide and NAD(H)- and alpha-ketoglutarate-binding domains. Mitochondrial localization confirmed by subcellular fractionation. Combines in several ratios with GDH2 protein (GDH-beta) to form seven isoenzymes. Catalyzes the cleavage of glycine residues. May be involved in ammonia assimilation under conditions of inorganic nitrogen excess. The enzyme is almost exclusively found in the mitochondria of stem and leaf companion cells.","GDH1; GLUTAMATE DEHYDROGENASE 1"
